concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000000596,0,Maps to,2025-04-16,2099-12-31,
0,2000000596,Maps from,2025-04-16,2099-12-31,
2000000597,40786492,Maps to,2025-04-16,2099-12-31,
40786492,2000000597,Maps from,2025-04-16,2099-12-31,
2000000505,40795826,Maps to,2025-04-16,2099-12-31,
40795826,2000000505,Maps from,2025-04-16,2099-12-31,
2000000598,0,Maps to,2025-04-16,2099-12-31,
0,2000000598,Maps from,2025-04-16,2099-12-31,
2000000586,40775921,Maps to,2025-04-16,2099-12-31,
40775921,2000000586,Maps from,2025-04-16,2099-12-31,
2000000587,40786177,Maps to,2025-04-16,2099-12-31,
40786177,2000000587,Maps from,2025-04-16,2099-12-31,
2000000599,0,Maps to,2025-04-16,2099-12-31,
0,2000000599,Maps from,2025-04-16,2099-12-31,
2000000600,0,Maps to,2025-04-16,2099-12-31,
0,2000000600,Maps from,2025-04-16,2099-12-31,
2000000511,40789181,Maps to,2025-04-16,2099-12-31,
40789181,2000000511,Maps from,2025-04-16,2099-12-31,
2000000512,0,Maps to,2025-04-16,2099-12-31,
0,2000000512,Maps from,2025-04-16,2099-12-31,
2000000513,0,Maps to,2025-04-16,2099-12-31,
0,2000000513,Maps from,2025-04-16,2099-12-31,
2000000514,0,Maps to,2025-04-16,2099-12-31,
0,2000000514,Maps from,2025-04-16,2099-12-31,
2000000515,0,Maps to,2025-04-16,2099-12-31,
0,2000000515,Maps from,2025-04-16,2099-12-31,
2000000517,0,Maps to,2025-04-16,2099-12-31,
0,2000000517,Maps from,2025-04-16,2099-12-31,
2000000516,0,Maps to,2025-04-16,2099-12-31,
0,2000000516,Maps from,2025-04-16,2099-12-31,
2000000478,40789544,Maps to,2025-04-16,2099-12-31,
40789544,2000000478,Maps from,2025-04-16,2099-12-31,
2000000468,40796246,Maps to,2025-04-16,2099-12-31,
40796246,2000000468,Maps from,2025-04-16,2099-12-31,
2000000506,40795754,Maps to,2025-04-16,2099-12-31,
40795754,2000000506,Maps from,2025-04-16,2099-12-31,
2000000507,40782534,Maps to,2025-04-16,2099-12-31,
40782534,2000000507,Maps from,2025-04-16,2099-12-31,
2000000508,40783119,Maps to,2025-04-16,2099-12-31,
40783119,2000000508,Maps from,2025-04-16,2099-12-31,
2000000151,0,Maps to,2025-04-16,2099-12-31,
0,2000000151,Maps from,2025-04-16,2099-12-31,
2000000509,40779787,Maps to,2025-04-16,2099-12-31,
40779787,2000000509,Maps from,2025-04-16,2099-12-31,
2000000518,0,Maps to,2025-04-16,2099-12-31,
0,2000000518,Maps from,2025-04-16,2099-12-31,
2000000519,0,Maps to,2025-04-16,2099-12-31,
0,2000000519,Maps from,2025-04-16,2099-12-31,
2000000521,0,Maps to,2025-04-16,2099-12-31,
0,2000000521,Maps from,2025-04-16,2099-12-31,
2000000520,0,Maps to,2025-04-16,2099-12-31,
0,2000000520,Maps from,2025-04-16,2099-12-31,
2000000425,40796255,Maps to,2025-04-16,2099-12-31,
40796255,2000000425,Maps from,2025-04-16,2099-12-31,
2000000522,0,Maps to,2025-04-16,2099-12-31,
0,2000000522,Maps from,2025-04-16,2099-12-31,
2000000438,37045117,Maps to,2025-04-16,2099-12-31,
37045117,2000000438,Maps from,2025-04-16,2099-12-31,
2000000533,0,Maps to,2025-04-16,2099-12-31,
0,2000000533,Maps from,2025-04-16,2099-12-31,
2000000534,0,Maps to,2025-04-16,2099-12-31,
0,2000000534,Maps from,2025-04-16,2099-12-31,
2000000535,0,Maps to,2025-04-16,2099-12-31,
0,2000000535,Maps from,2025-04-16,2099-12-31,
2000000011,40779147,Maps to,2025-04-16,2099-12-31,
40779147,2000000011,Maps from,2025-04-16,2099-12-31,
2000000536,0,Maps to,2025-04-16,2099-12-31,
0,2000000536,Maps from,2025-04-16,2099-12-31,
2000000523,40782525,Maps to,2025-04-16,2099-12-31,
40782525,2000000523,Maps from,2025-04-16,2099-12-31,
2000000524,37075093,Maps to,2025-04-16,2099-12-31,
37075093,2000000524,Maps from,2025-04-16,2099-12-31,
2000000525,37053652,Maps to,2025-04-16,2099-12-31,
37053652,2000000525,Maps from,2025-04-16,2099-12-31,
2000000526,21497004,Maps to,2025-04-16,2099-12-31,
21497004,2000000526,Maps from,2025-04-16,2099-12-31,
2000000527,21496196,Maps to,2025-04-16,2099-12-31,
21496196,2000000527,Maps from,2025-04-16,2099-12-31,
2000000528,37075295,Maps to,2025-04-16,2099-12-31,
37075295,2000000528,Maps from,2025-04-16,2099-12-31,
2000000529,37072224,Maps to,2025-04-16,2099-12-31,
37072224,2000000529,Maps from,2025-04-16,2099-12-31,
2000000530,40789266,Maps to,2025-04-16,2099-12-31,
40789266,2000000530,Maps from,2025-04-16,2099-12-31,
2000000152,0,Maps to,2025-04-16,2099-12-31,
0,2000000152,Maps from,2025-04-16,2099-12-31,
2000000415,37031130,Maps to,2025-04-16,2099-12-31,
37031130,2000000415,Maps from,2025-04-16,2099-12-31,
2000000043,40772531,Maps to,2025-04-16,2099-12-31,
40772531,2000000043,Maps from,2025-04-16,2099-12-31,
2000000537,0,Maps to,2025-04-16,2099-12-31,
0,2000000537,Maps from,2025-04-16,2099-12-31,
2000000531,40776474,Maps to,2025-04-16,2099-12-31,
40776474,2000000531,Maps from,2025-04-16,2099-12-31,
2000000532,40792455,Maps to,2025-04-16,2099-12-31,
40792455,2000000532,Maps from,2025-04-16,2099-12-31,
2000000411,40775918,Maps to,2025-04-16,2099-12-31,
40775918,2000000411,Maps from,2025-04-16,2099-12-31,
2000000153,0,Maps to,2025-04-16,2099-12-31,
0,2000000153,Maps from,2025-04-16,2099-12-31,
2000000539,40779122,Maps to,2025-04-16,2099-12-31,
40779122,2000000539,Maps from,2025-04-16,2099-12-31,
2000000547,0,Maps to,2025-04-16,2099-12-31,
0,2000000547,Maps from,2025-04-16,2099-12-31,
2000000002,40782521,Maps to,2025-04-16,2099-12-31,
40782521,2000000002,Maps from,2025-04-16,2099-12-31,
2000000016,40779159,Maps to,2025-04-16,2099-12-31,
40779159,2000000016,Maps from,2025-04-16,2099-12-31,
2000000540,40785907,Maps to,2025-04-16,2099-12-31,
40785907,2000000540,Maps from,2025-04-16,2099-12-31,
2000000548,0,Maps to,2025-04-16,2099-12-31,
0,2000000548,Maps from,2025-04-16,2099-12-31,
2000000549,0,Maps to,2025-04-16,2099-12-31,
0,2000000549,Maps from,2025-04-16,2099-12-31,
2000000543,40779116,Maps to,2025-04-16,2099-12-31,
40779116,2000000543,Maps from,2025-04-16,2099-12-31,
2000000544,40779305,Maps to,2025-04-16,2099-12-31,
40779305,2000000544,Maps from,2025-04-16,2099-12-31,
2000000545,40772660,Maps to,2025-04-16,2099-12-31,
40772660,2000000545,Maps from,2025-04-16,2099-12-31,
2000000546,40792373,Maps to,2025-04-16,2099-12-31,
40792373,2000000546,Maps from,2025-04-16,2099-12-31,
2000000550,0,Maps to,2025-04-16,2099-12-31,
0,2000000550,Maps from,2025-04-16,2099-12-31,
2000000551,40779503,Maps to,2025-04-16,2099-12-31,
40779503,2000000551,Maps from,2025-04-16,2099-12-31,
2000000552,0,Maps to,2025-04-16,2099-12-31,
0,2000000552,Maps from,2025-04-16,2099-12-31,
2000000553,0,Maps to,2025-04-16,2099-12-31,
0,2000000553,Maps from,2025-04-16,2099-12-31,
2000000554,0,Maps to,2025-04-16,2099-12-31,
0,2000000554,Maps from,2025-04-16,2099-12-31,
2000000555,0,Maps to,2025-04-16,2099-12-31,
0,2000000555,Maps from,2025-04-16,2099-12-31,
2000000538,40779729,Maps to,2025-04-16,2099-12-31,
40779729,2000000538,Maps from,2025-04-16,2099-12-31,
2000000556,40789660,Maps to,2025-04-16,2099-12-31,
40789660,2000000556,Maps from,2025-04-16,2099-12-31,
2000000566,0,Maps to,2025-04-16,2099-12-31,
0,2000000566,Maps from,2025-04-16,2099-12-31,
2000000473,40792356,Maps to,2025-04-16,2099-12-31,
40792356,2000000473,Maps from,2025-04-16,2099-12-31,
2000000567,0,Maps to,2025-04-16,2099-12-31,
0,2000000567,Maps from,2025-04-16,2099-12-31,
2000000557,1033761,Maps to,2025-04-16,2099-12-31,
1033761,2000000557,Maps from,2025-04-16,2099-12-31,
2000000558,1012755,Maps to,2025-04-16,2099-12-31,
1012755,2000000558,Maps from,2025-04-16,2099-12-31,
