concept_id,concept_name,concept_code,vocabulary_id
1004991,I laid in bed for hours waiting to fall asleep in past 7 days,LP103181-6,LOINC
1004993,Trouble staying asleep in past 7 days,LP103183-2,LOINC
1005035,I felt good about my ability to do things for my friends in past 7 days,LP103225-1,LOINC
1005058,I felt scared in past 7 days,LP103248-3,LOINC
1005079,I had trouble walking because of my asthma in past 7 days,LP103270-7,LOINC
1005129,"I used a walker, cane or crutches to get around in past 7 days",LP103320-0,LOINC
1005130,I could carry my books in my backpack in past 7 days,LP103321-8,LOINC
1005131,I could move my legs in past 7 days,LP103322-6,LOINC
1005176,I could pull a shirt on over my head by myself in past 7 days,LP103367-1,LOINC
37035771,Green Olive Ab,LP105015-4,LOINC
1005222,I could pull on and fasten my seatbelt in past 7 days,LP105030-3,LOINC
1005223,I could open my clothing drawers in past 7 days,LP105031-1,LOINC
1005255,PhenX - standing height protocol 020703,LP111167-5,LOINC
43055615,Cells analyzed,LP111385-3,LOINC
40778836,Cells counted,LP111386-1,LOINC
43055616,Colonies counted,LP111387-9,LOINC
1005316,PhenX - wt loss - gain protocol 021401,LP111510-6,LOINC
21495640,Human coronavirus HKU1 RNA,LP111517-1,LOINC
1005343,PhenX - environmental exposures - occupation - occupation history protocol 060501,LP111700-3,LOINC
1005438,PhenX - respiratory - respiratory rate - child protocol 091402,LP111917-3,LOINC
1005439,PhenX - respiratory - respiratory rate - adult protocol 091403,LP111918-1,LOINC
1005486,PhenX - respiratory - immunoglobulin E - total and specific protocol 090701,LP111965-2,LOINC
1005584,PhenX - medication inventory protocol 140301,LP112330-8,LOINC
1005681,PhenX - assay for hepatitis B protocol 160401,LP112428-0,LOINC
1005726,PhenX - crime and delinquency - adolescent protocol 181201,LP112474-4,LOINC
1005824,PhenX - family interpersonal relationships protocol 210601,LP112575-8,LOINC
1005826,PhenX - healthy food environments protocol 210701,LP112577-4,LOINC
37078717,Chicory (Cichorium intybus) IgG,LP113507-0,LOINC
37026114,Gliadin peptide+tissue transglutaminase Ab,LP113724-1,LOINC
37047803,Gliadin peptide+tissue transglutaminase,LP113725-8,LOINC
1177057,Prothionamide,LP113731-6,LOINC
1005898,Are you covered by health insurance or some other kind of health care plan,LP113856-1,LOINC
1005899,What kind of health insurance or health care coverage do you have,LP113857-9,LOINC
1005936,Did giving up or greatly reduced important activities while drinking happen 3 or more times or for a month or more,LP114028-6,LOINC
1005977,"Do, or did, you smoke if you are so ill that you are in bed most of the day",LP114187-0,LOINC
1005978,Drug type used in your lifetime,LP114188-8,LOINC
1005979,Have you ever used any of these medicines or drugs,LP114189-6,LOINC
1006011,Have you ever used this drug to keep from having any of these problems or make them go away,LP114222-5,LOINC
1006012,Did you have to use this drug to make problems go away 3 or more times,LP114223-3,LOINC
1006013,"Did using this drug cause you to have any other problems, like an overdose that required medical treatment",LP114224-1,LOINC
1006050,"In the last 12 months, did any dogs, cats or other small furry animals, such as a rabbit, guinea pig or hamster, live or spend time inside your home",LP114382-7,LOINC
1006098,"Overall, for how many years were you involved in this hobby",LP114433-8,LOINC
1006146,Who provided most of the responses in this section,LP114653-1,LOINC
1006151,Did you ever get a blistering sunburn,LP114658-0,LOINC
1006188,For how many years did you drink alcoholic beverages at least once a week for 6 months or more,LP114888-3,LOINC
1006189,Age range for exercise,LP114889-1,LOINC
1006230,Clinician-diagnosed illness,LP114934-5,LOINC
1006279,Estrogen administration method,LP114985-7,LOINC
1006280,Have you ever used this estrogen administration method,LP114986-5,LOINC
1006324,Latitude for the residence,LP115249-7,LOINC
1006342,Absolute volume,LP115585-4,LOINC
1006369,Time at blood draw,LP115776-9,LOINC
1006370,Dyspnea^post exercise,LP115777-7,LOINC
1006412,"During the past 3Y, have you had any chest illnesses that have kept you off work, indoors at home, or in bed",LP115894-0,LOINC
1006413,Did you produce phlegm with any of these chest illnesses,LP115895-7,LOINC
1006460,How much pipe tobacco are you smoking now,LP115945-0,LOINC
1006461,Do or did you inhale the pipe smoke,LP115946-8,LOINC
1006506,In which of the past 12 months did this nose problem occur,LP116182-9,LOINC
1006537,Part time advance practice nurse staff positions vacant at end of period,LP116229-8,LOINC
1006538,Part time dietitian staff positions vacant at end of period,LP116230-6,LOINC
1006580,Dialysis patients enrolled in Medicare at end of reporting period,LP116274-4,LOINC
1006581,Dialysis patients not enrolled or pending enrollment in Medicare at end of reporting period,LP116275-1,LOINC
1006624,Has your child ever had hay fever,LP116318-9,LOINC
1006651,I get exhausted easily,LP116721-4,LOINC
1006652,My cough or breathing is embarrassing in public,LP116722-2,LOINC
1006700,Have you ever been concerned about your childs breathing during sleep,LP116773-5,LOINC
1006746,Does your child wake up with headaches in the morning,LP116819-6,LOINC
1006747,"Does your child get a headache at least once a Mo, on average",LP116820-4,LOINC
1002644,Data type,LP116857-6,LOINC
1006785,Deleted maneuver,LP116861-8,LOINC
1006786,Acceptable maneuver,LP116862-6,LOINC
1006787,Technician quality control code,LP116863-4,LOINC
1006831,Would you say these physical changes,LP116909-5,LOINC
1006834,How many Mos have you used evista,LP116912-9,LOINC
1006879,Over the past 4 weeks how often have you felt sexual desire,LP116957-4,LOINC
1006880,Over the past 4 weeks how would you rate your level of sexual desire,LP116958-2,LOINC
1006923,"Have you ever had any kind of sexual experience or sexual contact with a female, for women, or male, for men",LP117001-0,LOINC
1002971,When was the last occasion,LP117003-6,LOINC
1006928,Eye,LP117007-7,LOINC
1006962,Are you currently using steroid eye drops,LP117047-3,LOINC
1007005,Details for glasses or contacts,LP117823-7,LOINC
1007051,"Has your child worn glasses or contact lenses in the past, but no longer needs to wear them",LP117871-6,LOINC
1007052,Date when first prescribed,LP117872-4,LOINC
1007053,Age when first prescribed,LP117873-2,LOINC
1007099,I have nightmares about my parents,LP118121-5,LOINC
